food_id,dish_name,food_type,cuisine_region,meal_time_category,serving_size_g,default_portion,carbs_g,protein_g,fat_g,fiber_g,sugar_g,glycemic_index,glycemic_load,calories_kcal,sodium_mg,vitamins_minerals_info,avoid_for_diabetic,safe_threshold_sugar,risky_threshold_sugar,risky_reason,recommended_alternatives,portion_adjustment,meal_time_fit,dietitian_notes
16,Mango milkshake (Aam milkshake),Dairy,Global,Breakfast,200,1 cup,7.23,1.73,2.35,0.26,7.15,40,2.8920000000000003,56.9,13.27,"62.33, 0.15, 20.1, 53.68",No,110,140,Normal,"Sweet Lassi (Meethi lassi), Shahi paneer, Pomegranate raita (Anaar ka raita)",okay at normal portion; choose low‑fat/unsweetened,General,"Use low‑fat, unsweetened choices; watch added sugar in desserts. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes."
17,Pineapple milkshake (Ananas milkshake),Dairy,Global,Breakfast,200,1 cup,7.62,1.66,2.23,0.0,7.6,37,2.8194,55.72,14.05,"59.92, 0.11, 10.22, 17.45",No,110,140,Normal,"Paneer soup, Cheese soup, Spinach paneer kofta curry (Palak paneer kofta curry)",okay at normal portion; choose low‑fat/unsweetened,General,"Use low‑fat, unsweetened choices; watch added sugar in desserts. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes."
18,Orange milkshake (Narangi milkshake),Dairy,Global,Breakfast,200,1 cup,7.11,1.86,2.52,0.0,7.08,58,4.1238,57.42,14.63,"67.42, 0.11, 10.82, 16.85",No,110,140,Normal,"Paneer soup, Cheese soup, Spinach paneer kofta curry (Palak paneer kofta curry)",okay at normal portion; choose low‑fat/unsweetened,General,"Use low‑fat, unsweetened choices; watch added sugar in desserts. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes."
19,Egg nog,Meat,Global,Breakfast,100,1 serving,8.15,4.78,5.11,0.02,8.06,35,2.8525,97.14,40.65,"102.13, 0.43, 4.82, 41.91",No,110,140,Normal,"Meat stock, Roast chicken, Egg in a pepper",okay at normal portion; prefer grilled/less gravy,General,Choose lean cuts; avoid heavy gravies; balance with salad/veg. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
20,Sweet Lassi (Meethi lassi),Dairy,Global,Snack,100,1 serving,6.51,1.29,0.68,0.0,6.51,31,2.0181,35.66,18.31,"45.65, 0.03, 1.0, 18.0",No,110,140,Normal,"Paneer soup, Cheese soup, Spinach paneer kofta curry (Palak paneer kofta curry)",okay at normal portion; choose low‑fat/unsweetened,General,"Use low‑fat, unsweetened choices; watch added sugar in desserts. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes."
21,Lassi (salted),Dairy,Global,Snack,100,1 serving,1.86,1.35,0.72,0.02,1.84,61,1.1346,18.84,65.4,"47.78, 0.04, 1.02, 18.07",Yes,110,140,High GI,"Paneer soup, Cheese soup, Spinach paneer kofta curry (Palak paneer kofta curry)",limit to small portion (¾ cup); choose low‑fat/unsweetened,General,"Use low‑fat, unsweetened choices; watch added sugar in desserts. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes."
22,Cheese and chilli sandwich ,Dairy,Global,Snack,100,1 serving,27.4,6.8,9.78,2.08,2.38,60,16.44,218.11,437.5,"113.79, 0.99, 12.3, 16.14",No,100,130,Normal,"Paneer soup, Cheese soup, Spinach paneer kofta curry (Palak paneer kofta curry)",limit to small portion (¾ cup); choose low‑fat/unsweetened,General,"Use low‑fat, unsweetened choices; watch added sugar in desserts. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes."
23,Egg sandwich (Ande ka sandwich),Meat,Global,Breakfast,100,1 serving,29.16,8.69,15.8,1.88,1.86,55,16.038,285.96,461.67,"110.13, 1.44, 0.0, 14.92",No,100,130,Normal,"Roast chicken, Egg in a pepper, Fried Egg ",limit to small portion (¾ cup); prefer grilled/less gravy,General,Choose lean cuts; avoid heavy gravies; balance with salad/veg. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
24,Cucumber sandwich (Kheere ka sandwich),Snack,Global,Snack,100,1 serving,25.77,4.8,8.0,2.45,1.64,73,18.8121,188.6,362.64,"87.84, 1.02, 1.53, 12.96",Yes,100,130,High GI,"Canjee, Pickled mustard greens , Fermented bamboo shoot pickle (Mesu pickle)",reduce to half portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. High‑GI: emphasise portion control and add fiber/protein. 10–15 min walk post‑meal helps control spikes.
25,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),Dairy,Global,Snack,120,1 fruit,29.1,8.2,12.8,2.33,4.1,41,11.931,257.71,571.96,"199.73, 1.04, 3.64, 12.08",No,100,130,Normal,"Paneer pakora/pakoda, Sweet Lassi (Meethi lassi), Shahi paneer",okay at normal portion; choose low‑fat/unsweetened,General,"Use low‑fat, unsweetened choices; watch added sugar in desserts. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes."
26,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),Dairy,Global,Snack,100,1 serving,26.92,7.92,12.27,1.97,2.85,47,12.6524,243.32,549.71,"191.2, 1.0, 3.16, 12.18",No,100,130,Normal,"Paneer soup, Spinach paneer kofta curry (Palak paneer kofta curry), Paneer kofta curry",okay at normal portion; choose low‑fat/unsweetened,General,"Use low‑fat, unsweetened choices; watch added sugar in desserts. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes."
27,Chicken sandwich,Meat,Global,Dinner,100,1 serving,25.38,13.12,11.75,1.64,1.6,47,11.9286,253.27,389.67,"89.56, 1.19, 0.0, 11.1",No,100,130,Normal,"Fried Egg , Egg drop soup, Chicken kebab",okay at normal portion; prefer grilled/less gravy,General,Choose lean cuts; avoid heavy gravies; balance with salad/veg. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
28,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),Lentil,Global,Snack,100,1 serving,28.54,9.53,16.14,4.03,2.82,43,12.2722,291.43,364.99,"94.03, 1.58, 3.16, 22.04",No,100,130,Normal,"Washed moong dal (Dhuli moong ki dal), Split bengal gram with bottle gourd (Channa dal with ghiya/lauki), Urad special dehusked",okay at normal portion; pair with non-starchy veg,General,"Great protein + fiber; avoid deep‑fried versions (e.g., vada); keep portion moderate. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes."
29,Rainbow sandwich,Snack,Global,Snack,100,1 serving,34.26,7.75,12.54,2.1,4.05,36,12.3336,272.75,612.49,"172.04, 1.2, 1.01, 10.38",No,90,120,Normal,"Puffy omelette/omlet, Brown stock, Canjee",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
30,Club sandwich ,Snack,Global,Snack,100,1 serving,18.51,7.31,15.12,1.81,2.01,34,6.2934,235.32,461.66,"115.68, 0.86, 6.0, 17.42",No,100,130,Normal,"Puffy omelette/omlet, Brown stock, Canjee",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
31,Vegetarian club sandwich,Snack,Global,Snack,100,1 serving,19.68,5.45,11.33,2.06,2.08,76,14.9568,198.33,305.36,"122.44, 0.77, 6.0, 17.53",Yes,100,130,High GI,"Canjee, Pickled mustard greens , Fermented bamboo shoot pickle (Mesu pickle)",reduce to half portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. High‑GI: emphasise portion control and add fiber/protein. 10–15 min walk post‑meal helps control spikes.
32,Pin wheel sandwich,Snack,Global,Snack,100,1 serving,14.0,8.77,24.93,0.93,1.45,64,8.96,311.52,374.39,"67.75, 1.36, 0.0, 9.04",Yes,110,140,High GI,"Canjee, Pickled mustard greens , Fermented bamboo shoot pickle (Mesu pickle)",limit to small portion (¾ cup); avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes.
33,Carrot apple sandwich (Gajar aur seb ka sandwich),Fruit,Global,Snack,120,1 fruit,29.04,5.3,9.12,3.66,5.3,54,15.681599999999998,214.11,302.88,"118.05, 1.8, 2.7, 21.7",No,100,130,Normal,"Pearl millet mathri (Bajra mathri), Mango mousse, Banana chips (Kele ke chips)",limit to small portion (¾ cup); prefer whole fruit,General,Prefer whole fruit over juice; pair with nuts/curd; avoid late‑night large portions. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
34,Salami sandwich,Snack,Global,Snack,100,1 serving,21.54,8.7,15.51,1.97,2.0,51,10.9854,255.59,662.75,"73.54, 1.11, 1.25, 12.65",No,100,130,Normal,"Fermented bamboo shoot pickle (Mesu pickle), Consomme au julienne, Mayonnaise",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
35,Vegetable and mayonnaise sandwich,Snack,Global,Snack,100,1 serving,23.2,4.47,15.4,2.35,2.35,51,11.832,244.26,342.7,"79.53, 0.91, 12.9, 17.05",No,100,130,Normal,"Fermented bamboo shoot pickle (Mesu pickle), Consomme au julienne, Mayonnaise",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
36,Egg and tomato sandwich (Ande aur tamatar ka sandwich),Meat,Global,Breakfast,100,1 serving,25.9,7.66,10.51,1.77,2.09,41,10.618999999999998,222.11,423.26,"95.71, 1.3, 1.98, 16.33",No,100,130,Normal,"Fried Egg , Prawn curry (with coconut) (Jhinga curry), Prawn sandwich",okay at normal portion; prefer grilled/less gravy,General,Choose lean cuts; avoid heavy gravies; balance with salad/veg. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
37,Sweet open sandwich,Snack,Global,Snack,100,1 serving,39.24,4.99,8.15,2.36,12.23,62,24.3288,244.25,205.27,"85.18, 1.15, 1.65, 13.05",Yes,90,120,High GI,"Canjee, Pickled mustard greens , Fermented bamboo shoot pickle (Mesu pickle)",reduce to half portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes.
38,Mushroom and cheese sandwich (toasted),Dairy,Global,Snack,100,1 serving,21.01,7.79,13.01,2.28,2.11,67,14.0767,227.42,456.57,"172.35, 0.84, 0.0, 12.7",Yes,100,130,High GI,"Paneer soup, Cheese soup, Spinach paneer kofta curry (Palak paneer kofta curry)",limit to small portion (¾ cup); choose low‑fat/unsweetened,General,"Use low‑fat, unsweetened choices; watch added sugar in desserts. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes."
39,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),Dairy,Global,Snack,100,1 serving,21.42,6.82,12.95,1.78,2.67,45,9.639,224.58,457.94,"169.22, 0.82, 6.32, 14.48",No,100,130,Normal,"Paneer soup, Spinach paneer kofta curry (Palak paneer kofta curry), Paneer kofta curry",okay at normal portion; choose low‑fat/unsweetened,General,"Use low‑fat, unsweetened choices; watch added sugar in desserts. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes."
40,Pea potato sandwich (toasted) (Matar aloo ka sandwich),Vegetable,Global,Snack,100,1 serving,25.17,4.6,5.43,2.89,1.33,55,13.8435,164.9,262.63,"64.15, 1.11, 14.11, 21.01",No,100,130,Normal,"Cauliflower canjee (Phoolgobhi ki canjee), Cold tomato soup, Hot and sour soup",okay at normal portion; minimal oil,General,Non‑starchy veg are ideal; include leafy greens; keep oil low. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
41,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),Dairy,Global,Dinner,100,1 serving,24.05,12.4,11.98,2.12,6.4,43,10.341500000000002,249.56,268.9,"274.1, 1.26, 4.85, 52.13",No,100,130,Normal,"Paneer soup, Paneer kofta curry, Spinach raita (Palak ka raita)",okay at normal portion; choose low‑fat/unsweetened,General,"Use low‑fat, unsweetened choices; watch added sugar in desserts. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes."
42,Chicken sandwich (toasted),Meat,Global,Dinner,100,1 serving,18.82,12.08,5.32,1.64,2.13,42,7.904400000000001,167.37,327.55,"99.99, 0.99, 12.97, 20.71",No,100,130,Normal,"Fried Egg , Prawn curry (with coconut) (Jhinga curry), Prawn sandwich",okay at normal portion; prefer grilled/less gravy,General,Choose lean cuts; avoid heavy gravies; balance with salad/veg. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
43,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),Meat,Global,Snack,100,1 serving,20.26,11.06,5.61,2.45,1.94,61,12.3586,171.78,290.07,"70.79, 1.51, 5.5, 18.29",Yes,100,130,High GI,"Roast chicken, Egg in a pepper, Fried Egg ",limit to small portion (¾ cup); prefer grilled/less gravy,General,Choose lean cuts; avoid heavy gravies; balance with salad/veg. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes.
44,Classic club sandwich,Dairy,Global,Snack,100,1 serving,18.49,6.74,11.56,1.62,1.86,31,5.7319,200.83,277.49,"107.73, 1.09, 16.19, 56.9",No,100,130,Normal,"Paneer soup, Cheese soup, Spinach paneer kofta curry (Palak paneer kofta curry)",okay at normal portion; choose low‑fat/unsweetened,General,"Use low‑fat, unsweetened choices; watch added sugar in desserts. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes."
45,Sesame toast,Snack,Global,Snack,100,1 serving,11.15,1.9,49.38,1.32,1.46,72,8.028,495.19,128.78,"43.44, 0.72, 6.92, 8.87",Yes,110,140,High GI,"Canjee, Pickled mustard greens , Fermented bamboo shoot pickle (Mesu pickle)",reduce to half portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. High‑GI: emphasise portion control and add fiber/protein. 10–15 min walk post‑meal helps control spikes.
46,Cracked wheat porridge (Meetha daliya),Lentil,Indian,Lunch,100,1 serving,8.87,2.64,4.08,0.62,5.12,36,3.1932,81.57,15.89,"75.88, 0.32, 5.03, 17.58",No,110,140,Normal,"Moong dal with vadi, Besan kadhi with pakodies, Washed moong dal (Dhuli moong ki dal)",okay at normal portion; pair with non-starchy veg,General,"Great protein + fiber; avoid deep‑fried versions (e.g., vada); keep portion moderate. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes."
47,Semolina porridge (Suji/Rava daliya),Lentil,Indian,Lunch,100,1 serving,12.39,3.75,4.08,0.7,7.54,76,9.4164,100.89,23.21,"108.52, 0.36, 5.03, 22.71",Yes,110,140,High GI,"Besan kadhi with pakodies, Washed moong dal (Dhuli moong ki dal), Sprouted moong salad ",reduce to half portion; pair with non-starchy veg,General,"Great protein + fiber; avoid deep‑fried versions (e.g., vada); keep portion moderate. High‑GI: emphasise portion control and add fiber/protein. 10–15 min walk post‑meal helps control spikes."
48,Oatmeal Porridge,Snack,Global,Snack,100,1 serving,8.77,2.6,3.22,0.39,5.2,67,5.875899999999999,72.85,16.14,"76.83, 0.28, 5.03, 23.98",Yes,110,140,High GI,"Canjee, Pickled mustard greens , Fermented bamboo shoot pickle (Mesu pickle)",limit to small portion (¾ cup); avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes.
49,Cornflakes with milk,Dairy,Global,Breakfast,200,1 cup,14.95,3.59,5.12,0.78,9.97,62,9.269,117.33,26.55,"106.47, 0.42, 4.82, 43.87",Yes,110,140,High GI,"Paneer soup, Cheese soup, Spinach paneer kofta curry (Palak paneer kofta curry)",limit to small portion (¾ cup); choose low‑fat/unsweetened,General,"Use low‑fat, unsweetened choices; watch added sugar in desserts. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes."
50,Rice flakes (Chiwda/Aval),Cereal,Global,Lunch,200,1 bowl rice,15.57,3.62,3.99,0.37,7.28,49,7.629300000000001,112.44,22.4,"103.15, 0.62, 4.82, 19.41",No,100,130,Normal,"Vermicelli porridge (Semiya/Seviyan porridge), Bread upma, Peas pulao (Matar pulao)",okay at normal portion; add extra salad/dal,General,Swap white grains with millet/brown rice; combine with dal/curd for protein. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
51,Wheat flakes,Snack,Global,Snack,100,1 serving,15.57,3.62,3.99,0.37,7.28,50,7.785,112.44,22.4,"103.15, 0.62, 4.82, 19.41",No,100,130,Normal,"Fermented bamboo shoot pickle (Mesu pickle), Consomme au julienne, Mayonnaise",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
52,Murmura (Puffed rice),Cereal,Global,Lunch,200,1 bowl rice,15.67,3.62,4.04,0.28,7.31,79,12.3793,113.32,22.52,"103.79, 0.63, 4.82, 16.87",Yes,100,130,High GI,"Consomme au vermicelli, Vermicelli porridge (Semiya/Seviyan porridge), Bread upma",reduce to half portion; add extra salad/dal,General,Swap white grains with millet/brown rice; combine with dal/curd for protein. High‑GI: emphasise portion control and add fiber/protein. 10–15 min walk post‑meal helps control spikes.
53,Puffed wheat (Murmure/Moori),Snack,Global,Snack,100,1 serving,15.67,3.62,4.04,0.28,7.31,35,5.484500000000001,113.32,22.52,"103.79, 0.63, 4.82, 16.87",No,100,130,Normal,"Puffy omelette/omlet, Brown stock, Canjee",okay at normal portion; avoid added sugar/frying,General,Reserve sweets/fried snacks for rare occasions; bake/air‑fry when possible. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
54,Boiled egg (Ubla anda),Meat,Global,Breakfast,100,1 serving,0.12,4.43,3.04,0.11,0.0,76,0.0911999999999999,45.35,170.94,"17.75, 0.64, 0.0, 24.77",Yes,110,140,High GI,"Roast chicken, Egg in a pepper, Fried Egg ",reduce to half portion; prefer grilled/less gravy,General,Choose lean cuts; avoid heavy gravies; balance with salad/veg. High‑GI: emphasise portion control and add fiber/protein. 10–15 min walk post‑meal helps control spikes.
55,Fried Egg ,Meat,Global,Breakfast,100,1 serving,0.31,11.59,19.62,0.29,0.0,31,0.0960999999999999,223.67,446.96,"46.4, 1.69, 0.0, 24.77",No,110,140,Normal,"Meat stock, Roast chicken, Egg in a pepper",okay at normal portion; prefer grilled/less gravy,General,Choose lean cuts; avoid heavy gravies; balance with salad/veg. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
56,Poached egg,Meat,Global,Breakfast,100,1 serving,0.37,11.98,8.19,0.3,0.05,69,0.2553,123.87,1163.07,"48.24, 1.75, 0.0, 24.77",Yes,110,140,High GI,"Roast chicken, Egg in a pepper, Fried Egg ",limit to small portion (¾ cup); prefer grilled/less gravy,General,Choose lean cuts; avoid heavy gravies; balance with salad/veg. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes.
57,Scrambled egg (Ande ki bhurji),Meat,Global,Breakfast,100,1 serving,1.35,10.29,12.21,0.24,1.08,46,0.621,155.97,374.66,"64.59, 1.42, 0.3, 25.82",No,110,140,Normal,"Fried Egg , Egg drop soup, Chicken kebab",okay at normal portion; prefer grilled/less gravy,General,Choose lean cuts; avoid heavy gravies; balance with salad/veg. Low‑GI: suitable choice; still watch total carbs. 10–15 min walk post‑meal helps control spikes.
58,Baked egg ,Meat,Global,Breakfast,100,1 serving,15.42,11.88,12.65,1.03,1.66,66,10.1772,218.85,523.29,"164.05, 1.48, 0.0, 35.72",Yes,100,130,High GI,"Roast chicken, Egg in a pepper, Fried Egg ",limit to small portion (¾ cup); prefer grilled/less gravy,General,Choose lean cuts; avoid heavy gravies; balance with salad/veg. Moderate‑GI: balance plate with veg + protein. 10–15 min walk post‑meal helps control spikes.
